id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
113,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",23-05-2022 04:00:00,PM2.5,12,62,28,NA
114,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",23-05-2022 04:00:00,PM10,18,69,42,NA
115,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",23-05-2022 04:00:00,NO2,9,42,21,NA
116,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",23-05-2022 04:00:00,NH3,1,6,3,NA
117,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",23-05-2022 04:00:00,SO2,1,19,5,NA
118,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",23-05-2022 04:00:00,CO,10,25,19,NA
119,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",23-05-2022 04:00:00,OZONE,2,74,56,NA
120,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",23-05-2022 04:00:00,PM2.5,8,95,64,NA
121,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",23-05-2022 04:00:00,PM10,14,102,79,NA
122,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",23-05-2022 04:00:00,NO2,18,26,22,NA
123,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",23-05-2022 04:00:00,NH3,2,3,3,NA
124,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",23-05-2022 04:00:00,SO2,4,5,4,NA
125,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",23-05-2022 04:00:00,CO,17,31,22,NA
126,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",23-05-2022 04:00:00,OZONE,14,92,70,NA
127,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",23-05-2022 04:00:00,PM2.5,27,283,110,NA
128,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",23-05-2022 04:00:00,PM10,47,163,95,NA
